sentence,classify
  The OECD Development Assistance Committee DAC maintains two databases that are the authoritative  source of annual statistical information on international development cooperation flows reported  by DAC members multilateral organisations and bilateral partners outside the DAC   1,SDG8
 The JKN is one of the largest social health   insurance schemes in the world,SDG1
   8 Law Number 8 Year 2012 on general election which guarantees  the engagement of women in the General Election and regulate the   requirement of minimum 30 women representation,SDG3
 A growing elderly population also   means that there is more  demand for better basic services from the local authorities and a   physical environment adapted to the needs of the elderly,SDG2
7 percent of GNI remains in the Government  Programme regardless of the financial challenges involved,SDG9
2    Abolish subsidies which harm the environment including the rationalization   of inefficient subsidies SDG 12 12,SDG12
 Yemen did not provide a response to Indicator 1b due to ongoing conflict,SDG17
 40   Annex 2a Tier1 Sierra Leone Specific SDGs Indicators with Baselines and Targets ,SDG17
 Their overarching  objective is the decoupling of economic development from the environmental impacts        48     associated with the production and disposal of waste which is to be accomplished by minimizing  the per capita production of municipal waste in Cyprus and by promoting the sustainable  management of waste through the implementation of the waste hierarchy,SDG11
7   Total number of indicators on the UN  list   241 100              147   the proposed national indicators some indicators of relevant international   organizations as well as cumulative indicators,SDG17
 41   Annex 2b Tier2 Sierra Leone Specific SDGs Indicators full list ,SDG12
    Measures and submeasures defined within the framework of the NSSD 2030   strategic goals “Improve the importance of culture as fundamental value   of spiritual social and economic development which enhances   significantly citizens’ quality of life“ “Establish efficient and   contemporary system of integral protection management and   sustainable use of cultural heritage and landscape” create the assumption   for the implementation of the sustainable development target 4,SDG11
 Bangladesh is confident to set an example as a leading SDGs achiever,SDG8
   Largescale state infrastructure projects and PPPs are under consideration for the construction  of digital infrastructures in Industrial Areas  Zones for the purposes of establishing cloud  computing  Internet services Internet of Things IoT  Industrial Internet and Big Data Analytics  in both urban and rural areas,SDG17
 Of the 51 countries with  an official government statement on tracking gender equality allocations 35 18 countries report a lack  of systematic tracking in practice,SDG2
 The quality of education remains a major   challenge that hinders the capacity of children to stay and finish   school and develop their full potential,SDG16
 There were 26 participants in this meeting from the Ministry   of Sustainable Development and Tourism the Ministry of Agriculture and   Rural Development the Ministry of Health the Ministry of Interior Affairs the   Environmental Protection Agency of Montenegro the Directorate for   Inspection Affairs the Forest Directorate the Union of Municipalities of   Montenegro Capital Podgorica and the Public Health Institute of Montenegro    Meeting with the entities responsible for economic resources was held on 16   February 2016,SDG4
   Although the National Health Service has been improved in terms of access efficiency equity financial   protection transparency and shared management practices it is necessary to reinforce the information in real   time,SDG2
 In Turkey a successful example to the involvement of private sector to  the sustainability monitoring is the BIST Sustainability Index,SDG14
 The aim is for the international dimension of Germany’s actions to also be incorporated,SDG10
 When drafted it relied on the   guidelines and objectives of the then strategic documents primarily the Directions   for development of Montenegro as an ecological state And the Development and   Poverty Reduction Strategy,SDG3
 There is a high level of social cohesion and cultural diversity in local communities and neighbourhoods,SDG17
 From the aspect of legal   framework the basis for coherent coordination is providedby the Presidential   Decree for SDGs achievement in Indonesia,SDG16
   Furthermore Sexual Offences Act 172014 and AntiSexual Harassment Act 162014 also are key   legislations that provide the necessary protection framework for women in situations of violence   and abuse,SDG5
   To keep track of air quality a network of monitoring stations has been set up and is operated for  the measurement of key pollutants including ozone and particulate matter PM and related  meteorological parameters,SDG4
  United Nations 2015b Addis Ababa Action Agenda of the Third International Conference on Financing for Development United Nations   New York www,SDG12
2 i   number per 100 000  persons      n,SDG13
   Urban mining offers opportunities to recover materials but   the complexity of new products also increases the complexity   of recycling processes,SDG11
 The poverty reduction  measures taken by the Government has helped Bangladesh to achieve the corresponding  MDG target couple of years earlier than the deadline,SDG5
 United Nations Convention on the Rights of the Child CRC 1992 ,SDG5
38 of gross national income GNI in 2013 to 0,SDG9
    Firstly in order to achieve integrated ODA the Second Policy has established a  strong coordination mechanism to establish a coherent system to undertake projects for the  SDGs,SDG12
  OECD 2011b “Effective institutions and good governance for development Evidence on progress and the role of aid” Evaluation   Insights No,SDG3
  Finland has been ranked highly in several indexbased comparisons of  sustainable development but progress has not been sufficient during the  recent years this is a cause for concern,SDG5
 Centralization Vs decentralization for SD and urbanization   c,SDG4
9 Devise and implement policies to promote sustainable tourism creating  jobs  promoting local culture  products   8,SDG9
  Several instruments to support small and medium size   enterprises have been developed over the past years in   view of the importance of the matter with over 1 million   SMEs registered in Belgium in 2014,SDG8
 In addition   it also analyses the starting points for implementation in six key areas,SDG9
    In 2015 Estonia ratified The Council of Europe Convention on Action against Trafficking Human  Beings,SDG2
 Such challenges are often transboundary causing     	  	 17	  environmental social and economic impacts that are not limited to a specific area and require  global and mutual accountability responsibility and response,SDG8
  We want to achieve this target with concomitant improvement in safety standard of fish  production,SDG14
 On the energy demand site special attention is given        32     in improving the energy efficiency of the construction sector where the aim is to reduce energy  use in a way that will increase wealth improve quality of life and reduce CO2 emissions,SDG5
 Child poverty is below the EU aver age 12,SDG10
 Therefore the success or lack  of attaining SDGs will affect national development in the same manner,SDG12
 50           v     Annex1 Data Availability Status of SDG1 End poverty in all its forms everywhere ,SDG3
 Assigning an academic analysis of the  results of this review would be a good start,SDG3
  At the regional level Brazil participates in the Statistical Coordination   Group for the 2030 Agenda in Latin America and the Caribbean whose   objective is to coordinate the process of developing and implementing the   SDGs monitoring indicators and to foster the construction of the neces sary statistical capacity in the region,SDG8
    Strengthening the competiveness of the primary and secondary agricultural sectors and reviving  the Cypriot countryside while protecting the environment form part of the national priority for  rural development,SDG4
    Table 16 Analysis of the Fiscal Space     2009 2010 2011 2012 2013 2014 2015 2016   Total Revenue  of  GDP 11,SDG12
 The local governments being the service   delivery points will need to be empowered to mobilise community participation and ensure   delivery of SDGs at the lowest level,SDG9
   Division for Sustainable Development and Integrated Coastal Zone Management in   the Ministry of Sustainable Development and Tourism organized a round table in   cooperation with CEED Consulting Ltd,SDG3
1 of the total   number of indicators from the UN list,SDG7
 Also additional expert analyses which were not originally   planned were conducted and the initially anticipated timeframe set for revision   of the NSSD MNE was redefined,SDG4
 Portugal joined the Voluntary Initiative   on “Promotion of Effectiveness of the Trilateral Cooperation” launched at the Ministerial meeting of the   Global Partnership for Development Cooperation of October 2016 and will continue to work with the OECD   and other partners in promoting debate and partnership in this form of cooperation,SDG3
 96 of 2015 has established the   National Team for the Acceleration of Poverty Reduction Tim Nasional   Percepatan Penanggulangan KemiskinanTNP2K under direct   coordination of the Vice President,SDG5
3  Number of countries that adopt and  implement national disaster risk  reduction strategies in line with the  Sendai Framework for Disaster Risk  Reduction 20152030     National  Disaster  Reduction  Strategy   Policy 2010  National  Disaster  Preparedness  and  Response  Strategies   National Disaster  Reduction Strategy   Policy 2010 National  Disaster  Preparedness and  Response Strategies   National Disaster  Reduction Strategy   Policy 2010 National  Disaster  Preparedness and  Response Strategies            Goa l   INDICAT OR   INDICATOR Description UNITS BASELINE  DATA  20092014   2015 2016 Remarks   Sam e as  ind,SDG4
 According to  the 2016 ZimVac Rural Livelihoods Assessment RLA the 201516 and 201617 are  projected to be the two poorest consumption years since 2009,SDG4
 These rights are  clearly articulated and provided for in the Bill of Rights and are justiciable,SDG5
 The government has set  a goal to reduce the number of recognised noncitizens,SDG14
   With even greater focus and togetherness SouthSouth   Cooperation now can strongly contribute to areas of   importance under the SDGs such as economics inclusivity   and sustainability,SDG11
   The German Council for Sustainable Development an independent advisory panel has  been supporting the German Government since 2001,SDG17
 Therefore the country will need to mobilize more   resources to ensure comprehensive programming alignment and compliance of sector and   local government plans and budgets to the NDP II and SDGs enhance programme   implementation ensure that data monitoring and evaluation and reporting systems are   established and functional and ensure and periodic reviews of the NDP II,SDG5
 From a long   term development perspective   Government should sustain its efforts in   increasing school enrolment and   narrowing boygirl ratio in school   ensuring that special focus is given to   increasing retention of pupils in school   adult education be promoted and   intensification of vocational and technical   education,SDG3
1 Share of food expenditure in total consumption of the   bottom 40 household income earners g              10,SDG10
  Sustainable development with its very large scope requires   cooperation consultation and increased coordination –   both between various administrations at the same level   and between different levels of power,SDG16
 In 2016 the Federal Gov ernment supported 635 Fitness Gymnasium hubs,SDG5
 Efforts to combat wildlife crimes are among the focus areas of German environmental  and development policy,SDG5
 This  in turn can help to maintain political commitment throughout the institutional change process,SDG16
 Municipal Vulnerability Atlas a platform comprising the Social   Vulnerabil ity Index IVS based on indicators of the Human   Development Atlas1,SDG11
 Germany will double its support for     58	 	  the mobilisation and effective use of developing countries’ own domestic revenue by 2020,SDG8
 The contribution of philanthropy and businesses will be   documented so that it can be measured monitored and evaluated as part of   achieving SDGs in Indonesia,SDG16
 The   comparison between IDHS in 1997 and 2012 shows that women have been   postponing the first marriage for one and a half year since 1997,SDG5
 France consequently  supports the GPE as the future host structure for the  Education Cannot Wait platform launched at the 2016 UN  World Humanitarian Summit,SDG17
 Hunger and malnutrition are not only the result of insufficient  production but also the consequence of distribution problems,SDG2
2 coverage of 24hour  electricity supply at national  level in 2015,SDG4
 Lessons Learned   In implementing goal 2 Indonesia learned a number of lessons as follows      a,SDG15
 The use of technology   is an application of the noone left behind principle which makes community   involvement easier and reaches all segments of society,SDG11
The proportion of seized small arms and light  weapons that are recorded and traced in accordance with international standards and legal  instruments was 392 in 2014 and declined to 331 in 2015,SDG5
  Target for 2015 Halving the gap between development cooperation funding not covered by indicative  forward spending plans provided to governments by development partners,SDG3
 Bangladesh secured 7th position in  the political empowerment score rank of the Global Gender Gap subindex out of 144  countries,SDG4
 Report of the HighLevel Panel of Eminent Persons on the Post2015   Development Agenda   The Budget Act 2001   The Millennium Development Goals Report for Uganda 2015   The National Biotechnology and Biosafety Policy    The National Climate Change Policy 2013   The National Development Plan 201011201415   The National Development Plan 201516201920   The National Environmental Act Cap 153 1995   The National Environmental Management Policy for Uganda 1994,SDG11
  Reengineer growth for greater prosperity to ensure quality  growth and international competitiveness,SDG15
 Where sectoral policy is concerned policymakers have been working alongside interested  associations and nongovernmental organisations  – primarily from the environmental development  cooperation business and social spheres – on a  regular basis for many years,SDG3
    Kenya endeavors to improve port efficiency by implementation of the Electronic Single  Window System and the operationalization of the 24hour port operations,SDG4
 The subsequent   sections illustrate how Uganda’s programmes have made steps to ensure that no one is left   behind,SDG9
 The negative impact of relatively low per capita allocations on enablers such as  health and education,SDG9
 Its scope will be broad   aiming to prevent macro as well as micro litter and to   reduce land based as well as sea based sources,SDG17
 With adequate targets indica tors will be defined considering data availability and the possibility of   monitoring at the national and local levels,SDG10
 Moreover the Federal Government is  considering how new metrics of progress towards sustainable development can be adopted to  supplement the metric of gross domestic product,SDG11
00     50000   100000   150000   200000   250000   300000   350000   400000   450000  FY08 FY09 FY10 FY11 FY12 FY13 FY14 FY15 Base  FY16 FY17 Rev  FY 18  Proportion of domestic budget funded by domestic taxes    Budget Tax revenue Tax Revenue as  of budget          41     Bangladesh was US 1732 million in 199091 and the amount went up to US 3043 million  in 201415,SDG4
                5    1 IMPLEMENTING THE SUSTAINABLE DEVELOPMENT GOALS IN FRANCE   ACCOMPLISHMENTS AND CHALLENGES      ,SDG12
 A communication campaign awarenessraising   education and mobilization using various tools website   social networks video will guide the strategy 15,SDG4
 The resolutions demand amongst other  the withdrawal of foreign troops the return of refugees to their homes in safety and the  ascertainment of the fate of the missing persons,SDG4
 It also confirms that  across principles and indicators there are countries development partners and nonstate stakeholders that  demonstrate the capacity to progress on agreed effectiveness principles,SDG4
2 By 2030 end  preventable deaths  of newborns and  children under 5  years of age with   3,SDG3
    In relation to the established weaknesses and problems with the implementation   of sustainable development policy the responses to the key challenges in the   sustainable development governance system of Montenegro are grouped   through the application of the following strategic approaches integration   coherence inclusion and implementation,SDG11
 Female members of parliament  Percentage of members in national   and regional parliaments  Definition Proportion of women in the national parliament  singlelower house and the regional assemblies,SDG3
 France has adopted  a new digital development action plan,SDG6
 The disease   caused unprecedented socioeconomic damage   before it was officially declared over on 7 th     November 2015,SDG11
 Women had  majority share ownership in about 17 per cent of establishments that operated as  cooperatives,SDG5
 The development of the Uganda Vision coincided with consultations on the Rio20   Summit providing Uganda a chance to integrate the principles of sustainable development   in its long term development framework while also providing input into the global processes   that ultimately fed into the 2030Agenda,SDG4
 7  Derde Vlaamse Plattelandsontwikkelingsplan,SDG6
  This NSI framework is a three level hierarchical indicator framework the   national sector and service level indicators for monitoring government operations,SDG16
 Best practices lessons learned and emerging issues    vi,SDG9
 It also brings knowledge networks  studies publications trainings and expertise together and makes them accessible for the  business community,SDG4
 It traditionally supports other countries   throughout their transition towards democracy and a market economy   building on its own experience,SDG12
   This process has enabled national and international mapping of available information and identified the most   appropriate sources of indicators for the monitoring of the 17 SDGs in Portugal given that official statistics   available do not cover all indicators,SDG10
1 Goal 1 End poverty in all its forms everywhere ,SDG1
    Measures and submeasures defined within the framework of the NSSD 2030   strategic goal “Stop degradation of values of renewable natural   resources biodiversity water air land” create the assumption for the   implementation of the sustainable development target 3,SDG15
 The objective must be to promote national welfare as well as global common goods,SDG15
 Promoting agricultural diversification and expansion of Horticultural Crops  ,SDG2
    French legislation promotes innovative financing enabling  local authorities to earmark 1 of their water and  sanitation budget for development projects for our  partners for example and the allocation of part of the  funds raised by the financial transaction tax to the African  Development Bank’s Rural Water Supply and Sanitation  Initiative RWSSI from 2013 to 2015,SDG17
 Each CWC is led by   a Section Head in EPU and includes representatives   of Government Ministriesagencies civil society the   private sector academics United Nations agencies   and youth representatives,SDG4
 Cyprus highly values the HLPF as the platform for  reviewing and followingup the implementation of the SDGs through an interactive process of  peerlearning and sharing of experiences and best practices and mutuallybeneficial cooperation  driven by national priorities and taking into account national sovereignty with the ultimate  purpose of supporting the global vision of sustainable development that leaves no one behind,SDG4
 These profiles  in turn determine partners’ differing approaches to similar country contexts CABRI 2014 3536,SDG17
 14  as well as through other specific financial mechanisms such as the Global Environmental  Facility GEF,SDG8
 This emphasizes the importance of the decision   of the Steering Committee of the Centre for Sustainable Development adopted in   April 2016 after a comprehensive consultation process to continue its operation   until 2020 in the form of a joint program implemented by the Government and   UNDP on a close partnership model,SDG11
                                                                   Voluntary National Review – Portugal 2017   86                                                                                                         Statistics clearly constitute one of the pillars of democracy by allowing the exercise of informed citizenship and   they are an indispensable tool for decisionmaking and for the scrutiny of its impact,SDG3
  Special attention was paid to the social dimension of sustainable development,SDG10
   Islands being dispersed in nature and given the small size of the islands it is difficult to store   large quantities of fuel in these islands,SDG4
 Although there is  a need to explore what the global goals and targets mean in Turkey’s particular  development policy environment that preliminary analysis confirms a high  degree of consistency between 10th Development Plan and the SDGs,SDG4
 An integrated   database system will be developed to enable systematic data   compilation monitoring evaluation reporting and sharing     61  of SDG datasets and information across agencies and   regions,SDG17
          Voluntary National Review – Portugal 2017   8   On the other hand the EUs impact outside its borders is not limited to its external action agenda,SDG8
  Bangladesh is among the 44 countries to present VNR report on the twoyear progress of  SDGs implementation,SDG4
 Discharges of hazardous chemicals from landbased point sources have been     22  P a g e      reduced but there are still inputs of pollutants to the sea,SDG3
     55   Multilateral organisations dealing with the development of human rights democracy good  governance and the rule of law will also be supported during the period 20162020,SDG8
 The German Government will promote such developments in other forums as well such as the G20,SDG17
 These   effects have continued to linger on to date to the   extent that the government is currently instituting   tough austerity measures to revamp the   economy,SDG17
 Development of an integrated and holistic national industrial policy with an aim to enhance  the participation of the industrial sector in the GDP,SDG15
 The JKN provides health insurance for the poor   Premium Assistance Beneficiaries or Penerima Bantuan Iuran  PBI for   which the contribution is paid by the government,SDG3
 The formulation of   Presidential Decree for SDGs implementation regarding National Coordination   Team NCT reflects the highest commitment from the Government to build   sense of ownership from all platforms and to ensure an inclusive SDGs process,SDG8
 Most development  agencies have made efforts to sensitise staff about the commitment to transparency nonetheless  the analysis and identification of any existing institutional disincentives could help to identify means of  improving the quality of the information being reported,SDG8
 Provision for the right to education under Section 75 which entitles every citizen and  permanent resident of Zimbabwe to a basic statefunded education including adult  basic education and further education which the State through reasonable  legislative and other measures must make progressively available and accessible,SDG4
    Using the latest available data from OECD and UN databases the OECD has   built a tool that can assess a country’s current position on the individual SDG   targets as a first step towards a more operational framework,SDG12
 Reform of the National Sustainable Development Council – from the   advisory body of the Government of Montenegro to the State Council with   additional participation of civil business and scientific sector,SDG9
 For   instance they expressed that it will be an uphill task to achieve SDGs 1 and 11—ending  poverty in all   its forms everywhere and making cities and human settlements inclusive safe resilient and sustainable—  to which the Minister responded with optimism,SDG4
 By providing for public participation the citizens are empowered and  made aware of their roles and responsibilities to enable them to participate in deciding on their  destiny,SDG5
   Promoting the participation of migrant communities and their representatives in decisionmaking processes on   policies affecting them the Migration Council brings together the main migrant communities in Portugal and   the Municipal Plans for the Integration of Migrants are designed and implemented from a platform composed   of public and private entities including migrants’ associations,SDG11
   Through the lessons learned from the Millennium Agenda in addition to   the Brazilian Government’s planning instruments one intends to stimu late the creation of local governance structures which will lead the process   of localizing the 2030 Agenda in the territories,SDG4
 ZIMSTAT plays an active role at the national  level and participates in the process of developing indicators for the SDG targets and would  require technical assistance to strengthen its capacity in terms of incorporating the SDGs  targetsindicators into the national statistical system,SDG4
 Infrastructure which contributes to the preservation of environment waste   waste waters transportation buildings as well as green and climate change   resistant infrastructure   10,SDG2
 It aimed to provide a global platform to support local action     	  	 6	  for the implementation of the SDGs,SDG1
                                            1  First Belgian National Voluntary  Review on the Implementation   of the 2030 Agenda  United Nations High Level Political Forum  New York July 2017  PATHWAYS TO  SUSTAINABLE  DEVELOPMENT    1  Introduction 2  1,SDG12
   The National Health Plan 2020 draws up a strategic direction to the NHS framework and is a crucial element of   the health policy in Portugal including health promotion and disease prevention,SDG5
  Creating ownership and  increasing policy coherence  In a decentralised country such as Switzerland  subnational authorities i,SDG9
 Challenges facing the country in implementing the SDGs and  vii,SDG16
 Countries where the   quality of public sector institutions is relatively stronger and with higher levels of development are characteristically eligible for lending   from the International Bank for Reconstruction and Development IBRD the nonconcessional branch of the World Bank scores for   these countries are not made public,SDG17
 In 2016 these organisations will arrange a series  of events on Finland’s Agenda 2030 and prepare recommendations for the  implementation of Agenda 2030,SDG4
 It has three branches of   government – the Executive the Legislature and the   Judiciary,SDG3
 However income levels air pollution and security in the peripheries   and structurally disadvantaged regions are further diverging,SDG5
